id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value
2696645587,1,34,16,0,0,7a8no9dyo0r9g31sfi9h7ffbc,1,0,0,2024-06-17T12:01:20.753Z,2024-06-17T13:36:44Z,5080537173,197,23941,5080537163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5080537157,30,"38bp85766w04a0nuulq5fiig9, ah48smjzxxo8cp2m5k4py5iei, 3l7amac6wdv9yztupg7ur3kl, 7ryk67v5ovygt0kqg0srvk5p1, 2u6hj8z2g0r7b5roxpluy4sbu, b2na3x3g49i4zwsm1pcsqlx3p, 3auwtiburdxrp2i5me2d97f11, 3mjwr1t0d1bh6tlgma4u2yd49, 192q3f2xwk9nc6juoa1bcm3th, f2dutxek3uf0yi1ee32a3u2cq, ay02byqc6zdrh5xy3d4fy5qay, 98d3qcxkgk43xj3tkzxp191hx, so8sqvlxz1onakqu1unbl8et, 6b6mxf7xtigxky4835fxozbsa, 94pn9t927oh1qld3bys4m8rth, 8x50e0dyse2qecpv7gtku66l1, 4euxcqawlks4c56pqj8xvwbf9, 32eyq4xvy8s1ng11jnavvh32t, 3i53phcjc5vwe7i0m9pqjo3fu, 9o1vesnpfiucpoq35ihhpstex, 3qjhv5975c2l6oavhkp0wtc2y, b77yizfv3dc6l2baae0jzo6ad, avosn2zzco4pue5lvn9ct3g15, aa3b44io4dqepk3tewc7zgd05, 32ofi0z0euiqvxt5jk8o1uzxm, aap0mwj1tnezbgik0rhpvn9w5",5080537167,130,8,5080537171,194,7ryk67v5ovygt0kqg0srvk5p1,5080537165,59,"23, 2, 17, 6, 13, 22, 15, 19, 11, 14, 10, 1, 3, 4, 5, 7, 8, 9, 12, 16, 18, 20, 21, 24, 25, 26",5080537169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5080537175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696645595,1,34,16,0,0,1qiyr1mknujsl19tb9u2w9h3n,1,0,0,2024-06-17T12:01:27.656Z,2024-06-17T13:02:49Z,5080537231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5080537225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5080537235,197,1260,5080537229,130,7,5080537237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5080537233,194,65jv6v3qujiijivadpijzpr6d,5080537223,30,"djs16aa3q2ymqto3sd3uy1785, 38dhmhce7deuqgqmc3p7nhai2, et32rvp18jd7iug9evi1ulsd1, 93cnkzi86q36c8n86mo35q5t5, 4gbk8ka3fv401f8zyslo38fai, 8c6xe4kqhiat1lkjgd3juyaqd, biee6dvb524juzai7iryyskix, 9cy6lgb0e0cq4a7ht389qaklx, ajcblksnh113es9hzt7l5k8h5, 65jv6v3qujiijivadpijzpr6d, edczc3lr85w3vcg83qhbzefh1, 9594w5xycu2gkfn3p50f18pnt, 9e4s4trgbw7qxlguvx98hy311, 49i3xo3yqikkm9quwd0129h3p, 8y8s84rcmql9hx7y247ovlw45, das3stljm91mrmij9nvrddo7p, 84qg8f7lr34fps859v324v4k5, 58ne1a4dg1awsoh5ybmjrlhey, b6qu8gv2mpfju7a7qwm2wcciy, 8064l93eotfu04drtwy9i9d5, evsxd4obrqzq9xt5wg3e1axre, 7m9s93xiwa6g8d9imbtrszpp1, ahrnav5hhvd8fy2h0h9h77ug9, 2gdzp0ijdj23owec5rprnn696, aianahl18ooxmlr5ok6v321d6, die8ml5x5lfzofulcfsn0g3c9",5080537227,59,"1, 2, 11, 6, 3, 15, 20, 18, 19, 21, 17, 4, 5, 7, 8, 9, 10, 12, 13, 14, 16, 22, 23, 24, 25, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649331,2,32,1,0,0,1qiyr1mknujsl19tb9u2w9h3n,1,0,0,2024-06-17T13:00:46.070Z,2024-06-17T15:04:57Z,5080553973,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649327,2,32,1,0,0,7a8no9dyo0r9g31sfi9h7ffbc,1,0,0,2024-06-17T13:00:46.070Z,2024-06-17T13:00:46Z,5080553967,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649335,3,1,1,0,0,7a8no9dyo0r9g31sfi9h7ffbc,1,49.7,50.6,2024-06-17T13:00:46.071Z,2024-06-17T13:00:50Z,5080553993,279,S,5080553985,140,34.1,5080553991,213,2.87,5080553983,56,Back,5080553989,212,17.0,5080553987,141,57.2,,,,,,,192q3f2xwk9nc6juoa1bcm3th,A. Dovbyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649337,4,1,1,0,2,7a8no9dyo0r9g31sfi9h7ffbc,1,34.5,57.5,2024-06-17T13:00:48.247Z,2024-06-17T13:00:50Z,5080553997,56,Back,5080554003,212,14.0,5080553999,140,23.7,5080554005,213,2.51,5080554001,141,69.6,,,,,,,,,,7ryk67v5ovygt0kqg0srvk5p1,T. Stepanenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649339,5,1,1,0,4,7a8no9dyo0r9g31sfi9h7ffbc,1,23.9,67.6,2024-06-17T13:00:50.519Z,2024-06-17T13:00:54Z,5080554021,141,38.0,5080554019,140,22.0,5080554025,213,4.61,5080554023,212,20.2,5080554017,56,Back,,,,,,,,,,b2na3x3g49i4zwsm1pcsqlx3p,M. Matviienko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649343,6,1,1,0,8,7a8no9dyo0r9g31sfi9h7ffbc,1,24.9,33.9,2024-06-17T13:00:54.646Z,2024-06-17T13:00:58Z,5080554043,141,63.9,5080554047,213,1.52,5080554041,140,25.9,5080554039,56,Back,5080554045,212,20.4,,,,,,,,,,2u6hj8z2g0r7b5roxpluy4sbu,I. Zabarnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649345,7,1,1,0,11,7a8no9dyo0r9g31sfi9h7ffbc,1,25.3,64.2,2024-06-17T13:00:58.023Z,2024-06-17T13:00:59Z,5080554055,141,65.8,5080554057,212,9.0,5080554051,56,Back,5080554053,140,33.8,5080554059,213,0.12,,,,,,,,,,b2na3x3g49i4zwsm1pcsqlx3p,M. Matviienko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649349,8,1,1,0,13,7a8no9dyo0r9g31sfi9h7ffbc,1,34,65.7,2024-06-17T13:00:59.526Z,2024-06-17T13:01:01Z,5080554075,141,69.9,5080554079,213,2.91,5080554071,56,Back,5080554073,140,22.7,5080554077,212,12.2,,,,,,,,,,7ryk67v5ovygt0kqg0srvk5p1,T. Stepanenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696649353,9,1,1,0,14,7a8no9dyo0r9g31sfi9h7ffbc,1,22.6,69.3,2024-06-17T13:01:00.982Z,2024-06-17T13:01:03Z,5080554091,141,53.1,5080554095,213,3.81,5080554089,140,9.2,5080554093,212,17.9,5080554087,56,Back,,,,,,,,,,b2na3x3g49i4zwsm1pcsqlx3p,M. Matviienko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
